Date de la puissance max;Puissance max (VA)
10-03-2021;4863
09-03-2021;4461
08-03-2021;4346
07-03-2021;4468
06-03-2021;5704
05-03-2021;4648
04-03-2021;4150
03-03-2021;3183
02-03-2021;3237
01-03-2021;5272
28-02-2021;5134
27-02-2021;4290
26-02-2021;3667
25-02-2021;3086
24-02-2021;5507
23-02-2021;4306
22-02-2021;4783
21-02-2021;4827
20-02-2021;4003
19-02-2021;3599
18-02-2021;4142
17-02-2021;5096
16-02-2021;4130
15-02-2021;4663
14-02-2021;6599
13-02-2021;5106
12-02-2021;6623
11-02-2021;5718
10-02-2021;8031
09-02-2021;5278
08-02-2021;6265
07-02-2021;4550
06-02-2021;4403
05-02-2021;3994
04-02-2021;3445
03-02-2021;4815
02-02-2021;3790
01-02-2021;3413
31-01-2021;3823
30-01-2021;3712
29-01-2021;3069
28-01-2021;3979
27-01-2021;3572
26-01-2021;5662
25-01-2021;5850
24-01-2021;5499
23-01-2021;6193
22-01-2021;4214
21-01-2021;6194
20-01-2021;5539
19-01-2021;3531
18-01-2021;4140
17-01-2021;5124
16-01-2021;5994
15-01-2021;5692
14-01-2021;4065
13-01-2021;4443
12-01-2021;3896
11-01-2021;4315
10-01-2021;5619
09-01-2021;5406
08-01-2021;5120
07-01-2021;4758
06-01-2021;5496
05-01-2021;3830
04-01-2021;6192
03-01-2021;5736
02-01-2021;5107
01-01-2021;5208
31-12-2020;6179
30-12-2020;4585
29-12-2020;4520
28-12-2020;3637
27-12-2020;4148
26-12-2020;3611
25-12-2020;4980
24-12-2020;4130
23-12-2020;4034
22-12-2020;3990
21-12-2020;3464
20-12-2020;4110
19-12-2020;4530
18-12-2020;4172
17-12-2020;3113
16-12-2020;4696
15-12-2020;3745
14-12-2020;2783
13-12-2020;6026
12-12-2020;5128
11-12-2020;3256
10-12-2020;3473
09-12-2020;3708
08-12-2020;4434
07-12-2020;4054
06-12-2020;5073
05-12-2020;4502
04-12-2020;4134
03-12-2020;4235
02-12-2020;3697
01-12-2020;3991
30-11-2020;3471
29-11-2020;5030
28-11-2020;2872
27-11-2020;3175
26-11-2020;3912
25-11-2020;4013
24-11-2020;3358
23-11-2020;2986
22-11-2020;4413
21-11-2020;4731
20-11-2020;3317
19-11-2020;3812
18-11-2020;3487
17-11-2020;2758
16-11-2020;3681
15-11-2020;4924
14-11-2020;3624
13-11-2020;3608
12-11-2020;4122
11-11-2020;3664
10-11-2020;1799
09-11-2020;3897
08-11-2020;3211
07-11-2020;3018
06-11-2020;3482
05-11-2020;3412
04-11-2020;4446
03-11-2020;3336
02-11-2020;3381
01-11-2020;3384
31-10-2020;4218
30-10-2020;4153
29-10-2020;6509
28-10-2020;3231
27-10-2020;4572
26-10-2020;2730
25-10-2020;3451
24-10-2020;3274
23-10-2020;2713
22-10-2020;3778
21-10-2020;3758
20-10-2020;2804
19-10-2020;3835
18-10-2020;3487
17-10-2020;4748
16-10-2020;3244
15-10-2020;3852
14-10-2020;4663
13-10-2020;3207
12-10-2020;2800
11-10-2020;3796
10-10-2020;3425
09-10-2020;2996
08-10-2020;2260
07-10-2020;3897
06-10-2020;2758


Puissance max mensuelle

Date de la puissance max;Puissance max mensuelle (VA) recalculée à partir des Pmax journalières disponibles
10-2023;4971
09-2023;4892
08-2023;4354
07-2023;5517
06-2023;5413
05-2023;5290
04-2023;6487
03-2023;5723
02-2023;5802
01-2023;5462
12-2022;6083
11-2022;5363
10-2022;5578
09-2022;5031
08-2022;4880
07-2022;4755
06-2022;4719
05-2022;5879
04-2022;6144
03-2022;5622
02-2022;5101
01-2022;6237
12-2021;7257
11-2021;5691
10-2021;4741
09-2021;5507
08-2021;4666
07-2021;4390
06-2021;5075
05-2021;6421
04-2021;5279
03-2021;5704
02-2021;8031
01-2021;6194
12-2020;6179
11-2020;5030
10-2020;6509


Puissance max annuelle

Date de la puissance max;Puissance max annuelle (VA) recalculée à partir des Pmax mensuelles disponibles
2023;6487
2022;6237
2021;8031
2020;6509

